Apartment Complex,Lat,Lon
1010 Dilworth Apartments,35.21061177,-80.84072355
500 West Trade,35.23283897,-80.84698919
940 Brevard Apartments,35.23379689,-80.82973086
Alister Uptown,35.22477618,-80.83239798
Ascent Uptown Apartments,35.22919329,-80.84707502
Bell Uptown Charlotte,35.22828184,-80.84853415
Circa Uptown Apartments,35.23038516,-80.85016493
Cortland NoDa,35.24026756,-80.82261955
Edgeline Flats on Davidson,35.23789566,-80.82574701
Four One Five Flats,35.2366247,-80.84003691
Highland Mills Lofts,35.25030178,-80.80899274
Junction 1504 Luxury Apartments,35.20869729,-80.86417013
Loft One35 Apartments,35.22323364,-80.85248236
MAA Enclave,35.22575778,-80.83394293
MAA Uptown,35.23452154,-80.84424261
Maddox South End,35.20468169,-80.86662742
Midtown 205 ,35.2198304,-80.83267211
Park & Kingston Apartments,35.21946541,-80.85858537
Presley Uptown,35.2170632,-80.8402944
Skyhouse Uptown North Apartments,35.23382047,-80.8372045
Skyhouse Uptown South Apartments,35.23339983,-80.83840612
Ten 05 West Trade Apartments,35.2365546,-80.85359816
The Alexander Apartment House,35.25722903,-80.83690379
The Collective Apartments,35.24537605,-80.81346055
The Crown of Queen City,35.2226026,-80.85188154
The Ellis Apartments,35.23129659,-80.83677534
The Francis Apartments,35.22218189,-80.84647421
The Julien Apartments,35.22220284,-80.80921613
The Langston,35.2178229,-80.81882191
The Mint 425,35.23115637,-80.84698919
The Village at Commonwealth,35.2178229,-80.80117408
The Vue Charlotte on 5th,35.23290908,-80.84527258
Uptown 550,35.2209899,-80.84432844
Uptown Gardens,35.23592365,-80.84312681
