Apartment Complex,Unit Type,Availabillity,Rent,SQ.FT,Deposit,Apt Number,Property Value
1010 Dilworth Apartments,1B 1B,9/20/2022,1646,583,0,105,18764.4
1010 Dilworth Apartments,1B 1B,9/22/2022,1570,583,0,217,17898
1010 Dilworth Apartments,1B 1B,9/27/2022,1631,583,0,432,18593.4
Alister Uptown,S 1B,9/20/2022,1712,552,0,0,19516.8
Alister Uptown,S 1B,9/5/2022,1776,693,0,0,20246.4
Alister Uptown,S 1B,10/14/2022,1751,699,0,0,19961.4
Ascent Uptown Apartments,S 1B,8/26/2022,1984,472,500,0,22617.6
Ascent Uptown Apartments,S 1B,9/9/2022,2024,503,500,0,23073.6
Ascent Uptown Apartments,S 1B,9/5/2022,1879,575,500,0,21420.6
Bell Uptown Charlotte,S 1B,9/22/2022,1706,625,0,0,19448.4
Bell Uptown Charlotte,S 1B,11/4/2022,1565,625,0,0,17841
Circa Uptown Apartments,S 1B,9/1/2022,1648,625,0,0,18787.2
Cortland NoDa,S 1B,8/25/2022,1747,553,0,524,19915.8
Edgeline Flats on Davidson,1B 1B,8/25/2022,1550,741,0,0,17670
Edgeline Flats on Davidson,2B 2B,8/25/2022,1699,998,0,0,19368.6
Highland Mills Lofts,2B 2B,9/1/2022,1988,859,0,0,22663.2
Highland Mills Lofts,1B 1B,9/1/2022,1811,1197,0,2136,20645.4
Junction 1504 Luxury Apartments,1B 1B,8/25/2022,1883,789,0,0,21466.2
Loft One35 Apartments,S 1B,9/1/2022,1637,596,0,217,18661.8
MAA Uptown,S 1B,8/29/2022,1485,530,0,1312,16929
MAA Uptown,L 1B,9/21/2022,1570,696,0,1570,17898
MAA Uptown,S 1B,10/9/2022,1620,710,0,1401,18468
Maddox South End,S 1B,9/24/2022,2025,312,0,312,23085
Maddox South End,S 1B,10/15/2022,2025,324,0,324,23085
Maddox South End,S 1B,10/18/2022,1825,212,0,212,20805
Maddox South End,S 1B,11/11/2022,2100,508,0,508,23940
Midtown 205 ,1B 1B,9/14/2022,1770,770,0,521,20178
Park & Kingston Apartments,S 1B,8/25/2022,1670,537,0,406,19038
Park & Kingston Apartments,S 1B,10/2/2022,1665,537,0,204,18981
Presley Uptown,S 1B,8/25/2022,1600,647,250,538,18240
Skyhouse Uptown North Apartments,S 1B,9/24/2022,1358,546,0,1712,15481.2
Skyhouse Uptown North Apartments,S 1B,8/29/2022,1491,585,0,1607,16997.4
Skyhouse Uptown North Apartments,S 1B,8/25/2022,1476,587,0,2207,16826.4
Skyhouse Uptown North Apartments,S 1B,8/25/2022,1392,618,0,2211,15868.8
Skyhouse Uptown North Apartments,1B 1B,9/1/2022,1508,593,0,2110,17191.2
Skyhouse Uptown North Apartments,1B 1B,8/27/2022,1458,657,0,714,16621.2
Skyhouse Uptown North Apartments,1B 1B,9/26/2022,1643,678,0,1613,18730.2
Skyhouse Uptown North Apartments,1B 1B,10/30/2022,1638,694,0,1409,18673.2
Skyhouse Uptown North Apartments,1B 1B,8/25/2022,1438,694,0,1009,16393.2
Skyhouse Uptown North Apartments,1B 1B,8/30/2022,1526,725,0,405,17396.4
Skyhouse Uptown North Apartments,1B 1B,8/25/2022,1549,763,0,1108,17658.6
Skyhouse Uptown North Apartments,1B 1B,8/25/2022,1541,785,0,404,17567.4
The Collective Apartments,S 1B,8/31/2022,1510,525,0,455,17214
The Collective Apartments,S 1B,9/1/2022,1495,525,0,0,17043
The Collective Apartments,S 1B,8/31/2022,1502,525,0,0,17122.8
The Collective Apartments,S 1B,9/26/2022,1545,525,0,551,17613
The Collective Apartments,S 1B,9/27/2022,1530,525,0,0,17442
The Collective Apartments,S 1B,10/1/2022,1534,525,0,0,17487.6
The Crown of Queen City,S 1B,9/10/2022,1886,568,0,243,21500.4
The Ellis Apartments,S 1B,10/14/2022,1597,533,0,507,18205.8
The Ellis Apartments,S 1B,9/8/2022,1657,533,0,529,18889.8
The Ellis Apartments,S 1B,9/8/2022,1657,533,0,530,18889.8
The Ellis Apartments,S 1B,9/22/2022,1662,533,0,629,18946.8
The Francis Apartments,S 1B,8/25/2022,1773,513,0,339,20212.2
The Francis Apartments,S 1B,11/5/2022,1708,513,0,412,19471.2
The Francis Apartments,S 1B,10/18/2022,1733,513,0,604,19756.2
The Francis Apartments,S 1B,10/25/2022,1703,513,0,620,19414.2
The Francis Apartments,S 1B,10/6/2022,1683,513,0,648,19186.2
The Julien Apartments,1B 1B,11/12/2022,1520,544,0,226,17328
The Julien Apartments,1B 1B,11/19/2022,1825,698,0,418,20805
The Mint 425,1B 1B,9/1/2022,1870,824,0,320,21318
The Village at Commonwealth,S 1B,10/6/2022,1771,607,0,307,20189.4
The Village at Commonwealth,S 1B,10/14/2022,1691,607,0,203,19277.4
The Village at Commonwealth,S 1B,9/1/2022,1639,629,0,1138,18684.6
The Village at Commonwealth,S 1B,9/29/2022,1733,629,0,2103,19756.2
Uptown 550,S 1B,9/8/2022,1633,558,0,251,18616.2
Uptown 550,S 1B,9/14/2022,1698,558,0,286,19357.2
Uptown 550,S 1B,9/15/2022,1623,558,0,214,18502.2
Uptown 550,S 1B,9/3/2022,1767,620,0,520,20143.8
Uptown 550,S 1B,9/22/2022,1767,620,0,571,20143.8
Uptown Gardens,1B 1B,9/18/2022,1565,794,0,1,17841
Uptown Gardens,1B 1B,10/4/2022,1520,794,0,1,17328
Uptown Gardens,1B 1B,9/11/2022,1635,774,0,1,18639
Uptown Gardens,1B 1B,9/30/2022,1570,774,0,3,17898
Uptown Gardens,1B 1B,10/3/2022,1570,774,0,1,17898
